Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.049324,-0.050004,0.023619,0,0,0,0.24179,0.00031616,-3.231E-08,-1.4721E-06,0.00034841,-8.2186E-09,0.00056511,0,0,0,0,0,0,package://arm_assembly/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm_assembly/meshes/base_link.STL,,base_prt-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_link,-0.01642,0.026663,4.5383E-10,0,0,0,0.083149,5.1618E-05,5.7239E-06,1.2037E-12,4.3009E-05,-7.4942E-13,5.3421E-05,0,0,0,0,0,0,package://arm_assembly/meshes/shoulder_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm_assembly/meshes/shoulder_link.STL,,link2_prt-1,Origin_shoulder_joint,Axis_shoulder_joint,shoulder_joint,revolute,-0.04975,-0.05,0.0506,1.5708,0,0,base_link,0,1,0,0,0,-3.14,3.14,,,,,,,,
arm_1_link,-0.067,-0.0088325,0.0064325,0,0,0,0.18263,4.3498E-05,-4.0889E-05,-4.0889E-05,0.00061508,-1.355E-06,0.00061508,0,0,0,0,0,0,package://arm_assembly/meshes/arm_1_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://arm_assembly/meshes/arm_1_link.STL,,custom_arm-1,Origin_arm_1_joint,Axis_arm_1_joint,arm_1_joint,revolute,0,0.05,0,-1.5708,0,-1.5708,shoulder_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
arrm_2_link,0.021418,1.4132E-05,-0.018236,0,0,0,0.11424,2.8434E-05,9.5439E-08,6.9021E-07,7.4983E-05,-1.5866E-09,8.5335E-05,0,0,0,0,0,0,package://arm_assembly/meshes/arrm_2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm_assembly/meshes/arrm_2_link.STL,,link5_simpl-2,Origin_arm_2_joint,Axis_arm_2_joint,arm_2_joint,revolute,-0.137,0,-0.0024,1.5708,-1.5708,0,arm_1_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
wrist_1_link,0.020714,-0.0054239,-0.00017492,0,0,0,0.038269,9.4187E-06,4.7853E-09,1.7523E-07,5.7368E-06,-1.5989E-10,1.1361E-05,0,0,0,0,0,0,package://arm_assembly/meshes/wrist_1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm_assembly/meshes/wrist_1_link.STL,,arm4_prt-1,Origin_wrist_1_joint,Axis_wrist_1_joint,wrist_1_joint,revolute,0.0776,0.00525,-0.0151,0,0,0,arrm_2_link,1,0,0,0,0,-3.14,3.14,,,,,,,,
wrist_2_link,-0.0054965,0.0031022,-0.028056,0,0,0,0.028662,5.1487E-06,6.829E-07,-1.4139E-06,8.2956E-06,9.021E-07,5.7017E-06,0,0,0,0,0,0,package://arm_assembly/meshes/wrist_2_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://arm_assembly/meshes/wrist_2_link.STL,,wrist_2-2,Origin_wrist_2_joint,Axis_wrist_2_joint,wrist_2_joint,revolute,0.033,-0.00544,0,-0.050977,0.94745,3.1273,wrist_1_link,0.81193,0.029745,-0.583,0,0,-3.14,3.14,,,,,,,,
geared_r_link,-0.0069954,0.0072095,0.0014279,0,0,0,0.0038122,1.5043E-07,-2.4068E-08,1.1802E-07,6.8511E-07,1.0386E-08,5.5129E-07,0,0,0,0,0,0,package://arm_assembly/meshes/geared_r_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://arm_assembly/meshes/geared_r_link.STL,,gear_2-1,Origin_geared_r_joint,Axis_geared_r_joint,geared_r_joint,revolute,-0.017172,0.0094779,-0.024547,0.0091611,-0.47376,-0.02123,wrist_2_link,0.0083501,-0.99919,-0.039351,0,0,-3.14,3.14,,,,,,,,
finger_r_link,0.00425,0.0095132,-0.03189,0,0,0,0.0067468,2.1424E-06,1.5545E-11,8.1167E-12,1.9948E-06,4.6677E-07,2.2885E-07,0,0,0,0,0,0,package://arm_assembly/meshes/finger_r_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://arm_assembly/meshes/finger_r_link.STL,,Grip-2,Origin_finger_r_joint,,finger_r_joint,revolute,-0.022821,-0.0051594,0.0076671,0.68876,-0.039361,1.5792,geared_r_link,0,0,0,0,0,-3.14,3.14,,,,,,,,
geared_l_link,0.0055788,0.003,-0.00060197,0,0,0,0.004953,1.7709E-07,-2.8671E-18,-1.7358E-08,8.3857E-07,-5.6631E-19,6.912E-07,0,0,0,0,0,0,package://arm_assembly/meshes/geared_l_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://arm_assembly/meshes/geared_l_link.STL,,gear_arm_1-1,Origin_geared_l_joint,Axis_geared_l_joint,geared_l_joint,revolute,0.0046395,0.013762,-0.040092,0.42357,1.4749,0.43021,wrist_2_link,0,1,0,0,0,-3.14,3.14,,,,,,,,
finger_l_link,0.00425,0.0095132,-0.03189,0,0,0,0.0067468,2.1424E-06,1.5545E-11,8.1185E-12,1.9948E-06,4.6677E-07,2.2885E-07,0,0,0,0,0,0,package://arm_assembly/meshes/finger_l_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://arm_assembly/meshes/finger_l_link.STL,,Grip-1,Origin_finger_l_joint,,finger_l_joint,revolute,0.024003,0,0.0021147,0.48168,0,-1.5708,geared_l_link,0,0,0,0,0,-3.14,3.14,,,,,,,,
